ice_symbol,symbol_root,product,location,molecule,native_uom,convert_to_$usg,quarter_numb,quarter_pos,component_months,component_months_names,component_symbols,symbol_1,symbol_2,symbol_root_2,product_2,location_2,molecule_2,native_uom_2,convert_to_$usg_2,quarter_numb_2,quarter_pos_2,component_months_2,component_months_names_2,component_symbols_2,spread_type
%PRL F!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRL G!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRL H!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRL J!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%PRL K!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%PRL M!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%PRL N!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%PRL Q!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%PRL U!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%PRL V!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%PRL X!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%PRL Z!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%PRN F!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRN G!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRN H!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRN J!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%PRN K!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%PRN M!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%PRN N!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%PRN Q!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%PRN U!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%PRN V!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%PRN X!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%PRN Z!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%PRC F!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRC G!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRC H!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRC J!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%PRC K!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%PRC M!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%PRC N!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%PRC Q!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%PRC U!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%PRC V!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%PRC X!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%PRC Z!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%NBI F!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%NBI G!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%NBI H!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%NBI J!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%NBI K!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%NBI M!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%NBI N!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%NBI Q!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%NBI U!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%NBI V!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%NBI X!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%NBI Z!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%IBC F!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%IBC G!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%IBC H!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%IBC J!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%IBC K!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%IBC M!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%IBC N!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%IBC Q!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%IBC U!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%IBC V!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%IBC X!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%IBC Z!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%NGE F!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%NGE G!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%NGE H!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%NGE J!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%NGE K!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%NGE M!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%NGE N!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%NGE Q!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%NGE U!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%NGE V!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%NGE X!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%NGE Z!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%ISO F!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%ISO G!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%ISO H!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%ISO J!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%ISO K!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%ISO M!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%ISO N!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%ISO Q!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%ISO U!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%ISO V!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%ISO X!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%ISO Z!-IEU,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%AFE F!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%AFE G!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%AFE H!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%AFE J!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%AFE K!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%AFE M!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%AFE N!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%AFE Q!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%AFE U!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%AFE V!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%AFE X!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%AFE Z!-IEU,AFE,PROPANE,FAR EAST,C3,$/mt,/521,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%CL F!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%CL G!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%CL H!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%CL J!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%CL K!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%CL M!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%CL N!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%CL Q!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%CL U!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%CL V!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%CL X!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%CL Z!,CL ,CRUDE OIL,CUSHING,CL,$/bbl,/42,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%XRB F!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%XRB G!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%XRB H!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%XRB J!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%XRB K!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%XRB M!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%XRB N!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%XRB Q!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%XRB U!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%XRB V!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%XRB X!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%XRB Z!,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%HO F!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%HO G!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%HO H!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%HO J!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%HO K!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%HO M!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%HO N!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%HO Q!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%HO U!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%HO V!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%HO X!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%HO Z!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
=((('%AFE F!-IEU') + ('%AFE G!-IEU') + ('%AFE H!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,1Q,"F,G,H","JAN,FEB,MAR","%AFE F!-IEU,%AFE G!-IEU,%AFE H!-IEU",,,,,,,,,,,,,,outright
=((('%AFE J!-IEU') + ('%AFE K!-IEU') + ('%AFE M!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,2Q,"J,K,M","APR,MAY,JUN","%AFE J!-IEU,%AFE K!-IEU,%AFE M!-IEU",,,,,,,,,,,,,,outright
=((('%AFE N!-IEU') + ('%AFE Q!-IEU') + ('%AFE U!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,3Q,"N,Q,U","JUL,AUG,SEP","%AFE N!-IEU,%AFE Q!-IEU,%AFE U!-IEU",,,,,,,,,,,,,,outright
=((('%AFE V!-IEU') + ('%AFE X!-IEU') + ('%AFE Z!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,4Q,"V,X,Z","OCT,NOV,DEC","%AFE V!-IEU,%AFE X!-IEU,%AFE Z!-IEU",,,,,,,,,,,,,,outright
=((('%CL F!') + ('%CL G!') + ('%CL H!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,1Q,"F,G,H","JAN,FEB,MAR","%CL F!,%CL G!,%CL H!",,,,,,,,,,,,,,outright
=((('%CL J!') + ('%CL K!') + ('%CL M!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,2Q,"J,K,M","APR,MAY,JUN","%CL J!,%CL K!,%CL M!",,,,,,,,,,,,,,outright
=((('%CL N!') + ('%CL Q!') + ('%CL U!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,3Q,"N,Q,U","JUL,AUG,SEP","%CL N!,%CL Q!,%CL U!",,,,,,,,,,,,,,outright
=((('%CL V!') + ('%CL X!') + ('%CL Z!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,4Q,"V,X,Z","OCT,NOV,DEC","%CL V!,%CL X!,%CL Z!",,,,,,,,,,,,,,outright
=(('%HO F!') + ('%HO G!') + ('%HO H!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,1Q,"F,G,H","JAN,FEB,MAR","%HO F!,%HO G!,%HO H!",,,,,,,,,,,,,,outright
=(('%HO J!') + ('%HO K!') + ('%HO M!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,2Q,"J,K,M","APR,MAY,JUN","%HO J!,%HO K!,%HO M!",,,,,,,,,,,,,,outright
=(('%HO N!') + ('%HO Q!') + ('%HO U!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,3Q,"N,Q,U","JUL,AUG,SEP","%HO N!,%HO Q!,%HO U!",,,,,,,,,,,,,,outright
=(('%HO V!') + ('%HO X!') + ('%HO Z!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,4Q,"V,X,Z","OCT,NOV,DEC","%HO V!,%HO X!,%HO Z!",,,,,,,,,,,,,,outright
=(('%IBC F!-IEU') + ('%IBC G!-IEU') + ('%IBC H!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,1Q,"F,G,H","JAN,FEB,MAR","%IBC F!-IEU,%IBC G!-IEU,%IBC H!-IEU",,,,,,,,,,,,,,outright
=(('%IBC J!-IEU') + ('%IBC K!-IEU') + ('%IBC M!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,2Q,"J,K,M","APR,MAY,JUN","%IBC J!-IEU,%IBC K!-IEU,%IBC M!-IEU",,,,,,,,,,,,,,outright
=(('%IBC N!-IEU') + ('%IBC Q!-IEU') + ('%IBC U!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,3Q,"N,Q,U","JUL,AUG,SEP","%IBC N!-IEU,%IBC Q!-IEU,%IBC U!-IEU",,,,,,,,,,,,,,outright
=(('%IBC V!-IEU') + ('%IBC X!-IEU') + ('%IBC Z!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,4Q,"V,X,Z","OCT,NOV,DEC","%IBC V!-IEU,%IBC X!-IEU,%IBC Z!-IEU",,,,,,,,,,,,,,outright
=(('%ISO F!-IEU') + ('%ISO G!-IEU') + ('%ISO H!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,1Q,"F,G,H","JAN,FEB,MAR","%ISO F!-IEU,%ISO G!-IEU,%ISO H!-IEU",,,,,,,,,,,,,,outright
=(('%ISO J!-IEU') + ('%ISO K!-IEU') + ('%ISO M!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,2Q,"J,K,M","APR,MAY,JUN","%ISO J!-IEU,%ISO K!-IEU,%ISO M!-IEU",,,,,,,,,,,,,,outright
=(('%ISO N!-IEU') + ('%ISO Q!-IEU') + ('%ISO U!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,3Q,"N,Q,U","JUL,AUG,SEP","%ISO N!-IEU,%ISO Q!-IEU,%ISO U!-IEU",,,,,,,,,,,,,,outright
=(('%ISO V!-IEU') + ('%ISO X!-IEU') + ('%ISO Z!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,4Q,"V,X,Z","OCT,NOV,DEC","%ISO V!-IEU,%ISO X!-IEU,%ISO Z!-IEU",,,,,,,,,,,,,,outright
=(('%NBI F!-IEU') + ('%NBI G!-IEU') + ('%NBI H!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,1Q,"F,G,H","JAN,FEB,MAR","%NBI F!-IEU,%NBI G!-IEU,%NBI H!-IEU",,,,,,,,,,,,,,outright
=(('%NBI J!-IEU') + ('%NBI K!-IEU') + ('%NBI M!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,2Q,"J,K,M","APR,MAY,JUN","%NBI J!-IEU,%NBI K!-IEU,%NBI M!-IEU",,,,,,,,,,,,,,outright
=(('%NBI N!-IEU') + ('%NBI Q!-IEU') + ('%NBI U!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,3Q,"N,Q,U","JUL,AUG,SEP","%NBI N!-IEU,%NBI Q!-IEU,%NBI U!-IEU",,,,,,,,,,,,,,outright
=(('%NBI V!-IEU') + ('%NBI X!-IEU') + ('%NBI Z!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,4Q,"V,X,Z","OCT,NOV,DEC","%NBI V!-IEU,%NBI X!-IEU,%NBI Z!-IEU",,,,,,,,,,,,,,outright
=(('%NGE F!-IEU') + ('%NGE G!-IEU') + ('%NGE H!-IEU'))/3,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,Y,1Q,"F,G,H","JAN,FEB,MAR","%NGE F!-IEU,%NGE G!-IEU,%NGE H!-IEU",,,,,,,,,,,,,,outright
