ice_symbol,symbol_root,product,location,molecule,native_uom,convert_to_$usg,quarter_numb,quarter_pos,component_months,component_symbols
%HO X!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,n/a,n/a
%HO Z!,HO ,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,N,n/a,n/a,n/a
=((('%AFE F!-IEU') + ('%AFE G!-IEU') + ('%AFE H!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,1Q,"F,G,H","%AFE F!-IEU,%AFE G!-IEU,%AFE H!-IEU"
=((('%AFE J!-IEU') + ('%AFE K!-IEU') + ('%AFE M!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,2Q,"J,K,M","%AFE J!-IEU,%AFE K!-IEU,%AFE M!-IEU"
=((('%AFE N!-IEU') + ('%AFE Q!-IEU') + ('%AFE U!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,3Q,"N,Q,U","%AFE N!-IEU,%AFE Q!-IEU,%AFE U!-IEU"
=((('%AFE V!-IEU') + ('%AFE X!-IEU') + ('%AFE Z!-IEU'))/3)/521,AFE,PROPANE,FAR EAST,C3,$/mt,/521,Y,4Q,"V,X,Z","%AFE V!-IEU,%AFE X!-IEU,%AFE Z!-IEU"
=((('%CL F!') + ('%CL G!') + ('%CL H!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,1Q,"F,G,H","%CL F!,%CL G!,%CL H!"
=((('%CL J!') + ('%CL K!') + ('%CL M!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,2Q,"J,K,M","%CL J!,%CL K!,%CL M!"
=((('%CL N!') + ('%CL Q!') + ('%CL U!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,3Q,"N,Q,U","%CL N!,%CL Q!,%CL U!"
=((('%CL V!') + ('%CL X!') + ('%CL Z!'))/3)/42,CL,CRUDE OIL,CUSHING,CL,$/bbl,/42,Y,4Q,"V,X,Z","%CL V!,%CL X!,%CL Z!"
=(('%HO F!') + ('%HO G!') + ('%HO H!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,1Q,"F,G,H","%HO F!,%HO G!,%HO H!"
=(('%HO J!') + ('%HO K!') + ('%HO M!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,2Q,"J,K,M","%HO J!,%HO K!,%HO M!"
=(('%HO N!') + ('%HO Q!') + ('%HO U!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,3Q,"N,Q,U","%HO N!,%HO Q!,%HO U!"
=(('%HO V!') + ('%HO X!') + ('%HO Z!'))/3,HO,HEATING OIL,NEW YORK HARBOR,HO,$/usg,n/a,Y,4Q,"V,X,Z","%HO V!,%HO X!,%HO Z!"
=(('%IBC F!-IEU') + ('%IBC G!-IEU') + ('%IBC H!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,1Q,"F,G,H","%IBC F!-IEU,%IBC G!-IEU,%IBC H!-IEU"
=(('%IBC J!-IEU') + ('%IBC K!-IEU') + ('%IBC M!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,2Q,"J,K,M","%IBC J!-IEU,%IBC K!-IEU,%IBC M!-IEU"
